report_date,lead_id,name,zip,Orders
1/6/2021,N111NPQ,Pizza Express Glory Lienz,9900,0
1/6/2021,N1NP0RO,Vera Rosa Pizzeria,9813,121
1/6/2021,N1OQQN5,Pizzeria Al Pacino,9813,258
1/6/2021,O30P3O5N,Ötzi's Fast Food,9800,0
1/6/2021,NNRO3RO,Cafe Restaurant Tennishalle,9800,40
1/6/2021,N7P017O,Istanbul Kebab Hermagor,9620,202
1/6/2021,QRPOR33,Meckis Imbiss,9620,0
1/6/2021,O3NQQO5N,Piazza Vecchia Ristorante Pizzeria,9565,0
1/6/2021,OR3713R,Ötzi's,9560,647
1/6/2021,NN7371N,Stern Kebap Pizzahaus,9560,162
1/6/2021,N3OP357,Piazza Vecchia Ristorante Pizzeria,9546,202
1/6/2021,O0NQQO5N,Piazza Vecchia Ristorante Pizzeria,9545,0
1/6/2021,ORO53O5N,Niagara Restaurant & Pizzeria,9500,243
1/6/2021,QPQ0O3O,Pizzeria Brra,9500,728
1/6/2021,3OQ77R1,Pizza-Plus,9500,325
1/6/2021,OPPN3111,Kebab House,9500,0
1/6/2021,35O3Q1,Pizza Express,9500,721
1/6/2021,0513QP5N,Piazza Vecchia,9500,0
1/6/2021,ONO7N131,Ossi Kebap,9500,258
1/6/2021,050NR311,City Kebap,9500,315
1/6/2021,55ONRRN,Star Kebap,9500,544
1/6/2021,OO575101,Schnitzelwelt,9500,0
1/6/2021,01QP1311,König Kebap&Pizzahaus,9500,0
1/6/2021,0RRPOP11,Fulin Running Sushi,9500,659
1/6/2021,01PN5Q11,Hungerhaus,9500,81
1/6/2021,OQ5Q7001,Döneria,9500,40
1/6/2021,0O513P11,Burger Boutique,9500,773
1/6/2021,OQ00N7N1,Pizzeria Bauerndorf,9462,162
1/6/2021,O033N3R,Euphrat,9433,143
1/6/2021,050NQ711,Chinarestaurant Asia,9431,364
1/6/2021,NQNN0Q5,Bambus -Asiatische Küche,9413,487
1/6/2021,Q17R37O,L&M,9400,81
1/6/2021,O337517,Pizzeria da Piero,9400,1776
1/6/2021,555P70N,EL CAMINO,9330,0
1/6/2021,O51RPNN1,Europa Kebap Pizza,9300,745
1/6/2021,N01P77O,Osteria San Vito,9300,430
1/6/2021,5RR770N,Pizzeria Gepetto,9300,364
1/6/2021,0O171R11,Pizzeria San Marco,9220,0
1/6/2021,0Q10NQ11,Café Restaurant Kanonenhof Alpe Adria Spezialitäten,9073,344
