report_date,lead_id,name,zip,orders
1/6/2021,N0P75NQ,Bio-Pizzeria Vero,1090,487
1/6/2021,N0QP7R7,Nicht Pizza,1100,1184
1/6/2021,N115N37,Fuzo Pizza Kebap & Getränke,4060,44
1/6/2021,N150Q5R,Eat & Meet,4303,145
1/6/2021,OQ37QRP,La Vostra,1160,1526
1/6/2021,OQ5Q3O01,Pizzeria Royal,2225,76
1/6/2021,NN37NNR,true delivery by true chicken,4020,158
1/6/2021,NNO53QR,Miro,4662,605
1/6/2021,QRPR00O,Restaurant Samrat,1080,92
1/6/2021,R1101,Evershine Pizza,1220,584
1/6/2021,RPON1O1,Pizzeria Adamo,1050,0
1/6/2021,Q0R57O3,Quicky's -Burgers & More,1090,876
1/6/2021,O01OQ031,China Restaurant Lotos,6020,66
1/6/2021,N70NPOR,Kulinarium7,1070,0
1/6/2021,OR3RPQP,Westpol,1070,218
1/6/2021,O177QPN1,Wiener Würstelstand,1080,86
1/6/2021,0NPO5511,Lucky Sushi,1170,149
1/6/2021,0P35QP11,Wok House,1220,1178
1/6/2021,N3Q0R05,Pöggstall'er Pizzeria,3650,197
1/6/2021,O33N03R,Pizza La Lorenzo,1050,195
1/6/2021,O3NQN77,Baschly,1090,0
1/6/2021,05OP1R11,PHO YOU,8010,22
1/6/2021,05R550N1,Sweet Hell / Cafe Schmidt Bistro u. Eissalon,1050,92
1/6/2021,0N3R575N,Fuxi Ding Asia Restaurant,2700,0
1/6/2021,NOQP73R,Snack & Weg,3830,210
1/6/2021,O0RPQPN1,Hirschenwirt,5600,309
1/6/2021,01O0N75N,Today Imbiss,6800,172
1/6/2021,01PR1Q11,Mr. Wen,5020,162
1/6/2021,QO7P37O,Sushi Plus,1170,763
1/6/2021,ORO53O5N,Niagara Restaurant & Pizzeria,9500,173
1/6/2021,ORQN01N1,Memo Cafe - Grill - Pizza,1100,292
1/6/2021,ORROORR,Restaurant Tseng,1080,0
1/6/2021,P11NRQ,Kingswok,8074,822
1/6/2021,P35O711,Chili's Kebap & Pizzeria Hall i.T.,6060,357
1/6/2021,P503Q5,Casa Italia,2560,259
1/6/2021,P5N71P,Pronto Pizzeria,6112,346
1/6/2021,PO33R11,Fresh & Co,1160,80
1/6/2021,POR7N11,Demi Tass,1040,22
1/6/2021,Q51N01O,L'Osteria,1010,987
1/6/2021,Q57510O,Ristorante Pizzeria da Giacomo,5020,1838
1/6/2021,QN3OOP3,fast & fresh,3430,816
1/6/2021,NQ3N105,Pizzeria Ciao,1030,324
1/6/2021,NQ5RRN7,2016 Sushi Wok,1090,0
1/6/2021,NQQN0Q5,Griechische Taverna Gyros,1090,22
1/6/2021,NR51O5O,Adriano's Italian Pizza & Pasta Lieferservice,6300,346
1/6/2021,0PRPO131,Bella Italiamo,1100,1409
1/6/2021,0Q03R511,DAO,4020,195
1/6/2021,0QO0775N,Pizza King,3124,218
1/6/2021,0R7QR711,Flamingo Grillrestaurant,1190,184
1/6/2021,3013RN,Gasometer Noodle House,1110,0
1/6/2021,3030O71,Wiener Schnitzelland,1020,631
1/6/2021,N070Q7R,Eferdinger Pizza & Burger Haus,4070,0
1/6/2021,OQ01QPN1,Gasthaus Bergwirt,4053,1039
1/6/2021,OQ7PON11,Kebap & Pizza Antalya,9020,145
1/6/2021,NN0O757,Aamo Restaurant & Pizzeria,1100,710
1/6/2021,NN1QR5R,Pita & Grill,1100,92
1/6/2021,NN3N0QO,Zum Hopfbär,1220,671
1/6/2021,NNNRNNQ,Than Thai Asia,8010,0
1/6/2021,NNO355R,Pizzeria Lavinia,1120,355
1/6/2021,PRQR031,Bistro SchreyerS,5020,329
1/6/2021,Q35P07O,Heinz,8041,660
1/6/2021,NRRP0Q5,Al Capone,4614,149
1/6/2021,O01PN77,Schesch Besch,1010,66
1/6/2021,O03NP3N1,Orient Kebap,9020,80
1/6/2021,0315P0N1,Stiegl-Bräu,6020,66
1/6/2021,033PQP5N,Pizza Gusto,1100,592
1/6/2021,03713P5N,Kekko Sushi Bar 3,1080,44
1/6/2021,03N75Q11,Mount Everest Nepalische & Indische Küche,4600,763
1/6/2021,03QO00N1,Dancing Noodles,1050,69
1/6/2021,051N1711,Hoichi Ramen,1010,22
1/6/2021,OQP01O01,Die Herzl,8010,65
1/6/2021,OQQ1PN31,La Kuilla di Mare,1170,22
1/6/2021,OQRR7011,Josh,1030,92
1/6/2021,OR3713R,Ötzi's,9560,737
1/6/2021,ORN10311,Pizza Castello,5020,184
1/6/2021,0N755311,Kemo Speisen & Getränke Lieferung,1160,76
1/6/2021,O15OPQ5,Oslo Kebap & Pizza,2511,118
1/6/2021,O1QR5PN1,Zottis Hallenbad Restaurant,4240,281
1/6/2021,O1R0NQN1,Doña Irma mexikanisches restaurant,1030,0
1/6/2021,N3R1OO7,Pierogi,8010,92
1/6/2021,O33O01N1,Pizzeria Ristorante Napolitana,1140,2487
1/6/2021,O3Q7Q0N1,Pizza Bella Italia,1020,447
1/6/2021,05Q5R711,Pizzeria Madona,1210,218
1/6/2021,NOPO75N,OTA Taiwanesisches Restaurant,8010,66
1/6/2021,003QQ75N,Robin's Grillstation,6840,298
1/6/2021,0100075N,Ristorante Pizzeria il Teatro Milano,1060,0
1/6/2021,01POQ131,Flying-BBQ- Catering & Streetfood,7041,145
1/6/2021,O0NOP7R1,Afghan Restaurant,8010,66
1/6/2021,O135O35N,Lezz-Et,2230,382
1/6/2021,ORO7RPN1,Burger & Pizza Haus Ulis,1090,44
1/6/2021,ORP517R1,Gelato Italiano Eissalon Italia,1030,44
1/6/2021,ORPN03N1,Da Angelo's Margareten,1050,44
1/6/2021,QPRPRO3,Chen's Cooking,1120,408
1/6/2021,Q37P1N3,Pizzeria Volta,8010,527
1/6/2021,Q70R11O,Oishi Sushi,1060,44
1/6/2021,Q77307O,China-Restaurant Canton,6020,69
1/6/2021,QNO501O,Star Kebap,1100,530
1/6/2021,NR13POQ,Lanue Pizza & Kebap,2822,395
1/6/2021,31NN0R1,Pizzeria Scarabeo,2380,710
1/6/2021,3QQ33N,Asia Restaurant Wok & Sushi,1220,649
1/6/2021,0Q3010N1,Marco Polo Sushi,1030,0
1/6/2021,OQ0RO77,Gasthaus ''Zur Gruabn'',1030,324
1/6/2021,N7PN17Q,Imbiss am Pfarrberg,4400,276
1/6/2021,NN3P7RO,Modern Korean,1090,66
1/6/2021,QROPOOO,Subway,8055,0
1/6/2021,Q073ON3,Schnitzl Max,5020,1039
1/6/2021,NR770OO,Eat - Asiafood,8010,316
1/6/2021,037N0O11,Urfam Restaurant,6020,316
1/6/2021,05007O11,FIT.smartfood,5020,1052
1/6/2021,OQPRQ7N1,Sentepe Bistro & Café,1090,0
1/6/2021,OR00PO01,Quick Burger & Toast,1100,368
1/6/2021,0NQN00N1,B.Pasco Pizza,1120,0
1/6/2021,0NR0755N,Burger Boutique,9020,309
1/6/2021,N50OR37,PARKS-Art,8020,22
1/6/2021,N53535O,Royal Steak,6890,579
1/6/2021,N577P15,Bep Viet Restaurant,1040,421
1/6/2021,N71R03Q,Garbanzo,1160,22
1/6/2021,O15QNP01,Eiskaffee ROMA-Konditorei,8010,210
1/6/2021,O17OP011,Meet Me There,8020,0
1/6/2021,O1RN0O01,C & C Restaurant,8700,206
1/6/2021,O3QO05N1,La Amalia,7202,22
1/6/2021,N1RN35Q,my Indigo Staatsbrücke,5020,103
1/6/2021,N313NOR,Pizzahaus,5280,237
1/6/2021,05POP711,Pizzeria al taglio JOLLY,5020,22
1/6/2021,070QN511,Burger & Co,2640,130
1/6/2021,077PQR11,Casa Adriana,4400,118
1/6/2021,0N151N31,Hanfmezze,1070,0
1/6/2021,0N1O7511,La Deliziosa Eis,1050,0
1/6/2021,NO35RR7,The Box Noodles Lorenza,3100,237
1/6/2021,0001O511,bin Ramen,1010,145
1/6/2021,O0711O5N,Damas Pizzeria,8940,138
1/6/2021,O07Q77R,Pizzeria al Capone,1170,264
1/6/2021,O0N105N1,Dim-Sum Restaurant,1040,66
1/6/2021,O0O5O7N1,KFC,4053,92
1/6/2021,O0O71101,Johanneskeller,5020,0
1/6/2021,O1151501,Gasthof zur Post,6414,66
1/6/2021,O1370RP,Pizzeria Davit 2,8741,205
1/6/2021,ORQ1QNNN,Vegan Restaurant Tau,1220,1492
1/6/2021,ORQP177,Pinsatore,1040,76
1/6/2021,P3NR031,Pan Asia,5020,66
1/6/2021,QP7Q00O,Le's Cooking,1090,22
1/6/2021,QPQ1N1O,Kolala Asia Buffet Restaurant,5020,908
1/6/2021,Q57N10O,Edo Nudeln,1180,92
1/6/2021,Q5Q101O,Ganesha,1180,344
1/6/2021,507Q103,Nguyen's Pho House,1080,1260
1/6/2021,0Q111Q11,Yak Kitchen,4020,238
1/6/2021,331QP,La Bella,1030,22
1/6/2021,3N17RN,Witwe Bolte,1070,0
1/6/2021,3O1Q71,Pizzeria Charly,6900,553
1/6/2021,3ONO0N,Casa Papa,3002,224
1/6/2021,57QO07N,Neustadt Pizza & Kebap,4600,324
1/6/2021,5O0ON7N,China-Restaurant Hainburg,2410,465
1/6/2021,N0O71PO,Rasoi,1100,474
1/6/2021,N10QO1Q,Pho Hang Vietnamese Cuisine,1070,66
1/6/2021,N151Q37,Burger King,1170,205
1/6/2021,OQ773P01,Hali's - Natürlich frische Küche,1170,539
1/6/2021,N7P5R1R,Strasser-Bräu,1120,0
1/6/2021,N7PO17R,Weizer Kebaphaus,8160,22
1/6/2021,N7PRNPO,Souvlaki Bar Grill & More,3100,259
1/6/2021,NN5Q3NQ,Om Namo,1050,86
1/6/2021,NN7N5PR,Kung Fu,4061,303
1/6/2021,NNOR7Q7,Pizza Mann,5020,0
1/6/2021,NNPO15O,Pizzaexpress Etna,6700,1329
1/6/2021,R7NR3R,Piatto Pizza & Kebap,4030,789
1/6/2021,PQ11311,Trattoria Margareta,1050,432
1/6/2021,Q33R00O,Das Vindobona,1200,0
1/6/2021,NRO51,Pizzeria Pomodoro,1230,209
1/6/2021,O00NRN01,Lucky House,1210,592
1/6/2021,O0311RN1,Pizzeria Palermo,4522,97
1/6/2021,O05NN77,HEUER am Karlsplatz,1040,0
1/6/2021,057RNP5N,Bahnhof Kebap Pizzaria Haus,8580,22
1/6/2021,OQPQ07N1,Bombay Express,1220,876
1/6/2021,OQR50031,Mando,8041,0
1/6/2021,OR75O031,Vapiano,1100,276
1/6/2021,ORN7RQN1,Beaver Brewing Company 1050 Wien,1050,241
1/6/2021,0P77PQ11,Bräukeller,8020,321
1/6/2021,O15R3NN1,Mikata Izakaya,1010,22
1/6/2021,N7150Q7,Favorit Imbiss,5201,22
1/6/2021,N1OP7RO,Urfa Pizzeria,1100,791
1/6/2021,N1QRQO7,Fire Noodles,1020,0
1/6/2021,N3110OO,Pizzeria Express Bruck,2460,408
1/6/2021,N333007,Burger Station Ottakring,1160,197
1/6/2021,N3NRO1R,Pizzeri David Weiz,8160,316
1/6/2021,O350N35N,Mendez Cocktails & Tapas,1010,0
1/6/2021,NO5575N,Restaurant Das Piano,1120,0
1/6/2021,01337Q11,Yasna Panda Box,8053,115
1/6/2021,01PRN0N1,Gạo Cuisine,1120,303
1/6/2021,QQP5O1O,Tasty Donuts & Coffee,8010,0
1/6/2021,ORP1N101,Pasta & Vino,5020,92
1/6/2021,QN17QPO,Pizzeria Miami,2721,1167
1/6/2021,NQNP0PR,Restaurant bei Manuel,5412,162
1/6/2021,NQQ0QOR,Favorito Pizzeria,1140,0
1/6/2021,3RO7R1,China Restaurant Red Chili,1140,573
1/6/2021,5101N,Schnitzelmeister,1200,443
1/6/2021,0PO75P11,Ibo's,4062,141
1/6/2021,0QPR5131,Mevlana Kebap & Pizza Haus,2700,86
1/6/2021,0QQ15R11,L'Vita,4850,592
1/6/2021,30P303,Centimeter VI in Gersthof,1180,329
1/6/2021,33P33,Madhuban,6020,344
1/6/2021,3O0OPP1,Pizzeria Giovanni,8582,0
1/6/2021,3O51O01,Akakiko,1100,346
1/6/2021,3O7NRN,China Restaurant zum goldenen Fisch,1130,735
1/6/2021,7QNQN,Pronto Pizza,6900,697
1/6/2021,N1577PQ,Oki Sushi,1090,141
1/6/2021,OQN5O001,Al Forno,4300,378
1/6/2021,Q0OR1N3,Hot Kebap Pizza,8073,119
1/6/2021,NRN07NN,Blitz Burger Haus Schnitzel und Pizza,2460,130
1/6/2021,NRPON7R,Pomodoro Rosso,6890,400
1/6/2021,05755P11,Snack & Weg,1110,1289
1/6/2021,N5PNO1O,Trumerei,5020,97
1/6/2021,N5Q11N5,Asia Time,1060,0
1/6/2021,N73Q3RO,NORDSEE,1010,0
1/6/2021,OQR30N01,Momo's Point,5020,886
1/6/2021,OR1RRP01,Wilhelmsdorfer Stube,1120,173
1/6/2021,OR33QN01,Green Express Westbahnhof,1150,22
1/6/2021,O1551NN1,Qilin Asian Food,6971,905
1/6/2021,O31Q5RN1,Glück Sushi Bar,5020,44
1/6/2021,0NNPQ711,Zimt- Persisches Restaurant,8010,229
1/6/2021,0O03075N,Pizzeria Endo,3130,103
1/6/2021,0OOPOO11,Mangia Delizioso,5020,811
1/6/2021,0P5NR311,Universitätsbräuhaus,1090,0
1/6/2021,O33OOPN1,Duru Kebap,1160,1618
1/6/2021,O3O71QN1,Brötchenservice Catering Hirschmann,1230,0
1/6/2021,N35O70R,Bungalow,8020,0
1/6/2021,N3O0O1O,SO/SO,8010,0
1/6/2021,N3OP1O7,Zu den 3 goldenen Kugeln,8054,0
1/6/2021,N3QORN5,B & B,8572,710
1/6/2021,07Q03O11,Il Castello,3204,22
1/6/2021,NO01N,Asia Wok,1100,995
1/6/2021,0073P75N,Finca Mexicana,1190,115
1/6/2021,0110P511,Albert,1080,0
1/6/2021,017POQ5N,New York Burger & Pizza,1020,149
1/6/2021,O0NO5PN1,Le Sanli,1170,0
1/6/2021,O1077NN1,Via 64,6850,1081
1/6/2021,QQ5ON15,Ciao Italia,2340,497
1/6/2021,ORPONQN1,Chop Chop,1080,0
