restaurant ID,name,street,restaurant ZIP,,Month 1,Month 2
6,Pizzeria Ristorante Ciao,"Barmherzigengasse, 9",1030,# Commissionable Orders,225,282
6,Pizzeria Ristorante Ciao,"Barmherzigengasse, 9",1030,Avg Basket Size €,19.79,21.88
6,Pizzeria Ristorante Ciao,"Barmherzigengasse, 9",1030,# Negative Comments,0,1
6,Pizzeria Ristorante Ciao,"Barmherzigengasse, 9",1030,# Positive Comments,1,1
6,Pizzeria Ristorante Ciao,"Barmherzigengasse, 9",1030,% Kill Rate,4.00%,4.80%
6,Pizzeria Ristorante Ciao,"Barmherzigengasse, 9",1030,Avg Time to Accept (s),19,16
45,China Restaurant Tien Du,"Prager Straße, 10",1210,# Commissionable Orders,726,"1,190"
45,China Restaurant Tien Du,"Prager Straße, 10",1210,Avg Basket Size €,22.07,21.31
45,China Restaurant Tien Du,"Prager Straße, 10",1210,# Negative Comments,6,12
45,China Restaurant Tien Du,"Prager Straße, 10",1210,# Positive Comments,1,1
45,China Restaurant Tien Du,"Prager Straße, 10",1210,% Kill Rate,4.50%,4.10%
45,China Restaurant Tien Du,"Prager Straße, 10",1210,Avg Time to Accept (s),12,14
51,Pizzeria Casa Mama,"Floridsdorfer Hauptstraße, 31",1210,# Commissionable Orders,324,901
51,Pizzeria Casa Mama,"Floridsdorfer Hauptstraße, 31",1210,Avg Basket Size €,24.57,23.98
51,Pizzeria Casa Mama,"Floridsdorfer Hauptstraße, 31",1210,# Negative Comments,2,5
51,Pizzeria Casa Mama,"Floridsdorfer Hauptstraße, 31",1210,# Positive Comments,1,1
51,Pizzeria Casa Mama,"Floridsdorfer Hauptstraße, 31",1210,% Kill Rate,3.60%,3.90%
51,Pizzeria Casa Mama,"Floridsdorfer Hauptstraße, 31",1210,Avg Time to Accept (s),14,11
52,Restaurant Wasabi,"Donaufelder Straße, 37",1210,# Commissionable Orders,888,"1,015"
52,Restaurant Wasabi,"Donaufelder Straße, 37",1210,Avg Basket Size €,30.68,30.51
52,Restaurant Wasabi,"Donaufelder Straße, 37",1210,# Negative Comments,6,7
52,Restaurant Wasabi,"Donaufelder Straße, 37",1210,# Positive Comments,1,1
52,Restaurant Wasabi,"Donaufelder Straße, 37",1210,% Kill Rate,4.40%,3.80%
52,Restaurant Wasabi,"Donaufelder Straße, 37",1210,Avg Time to Accept (s),17,16
55,Pizza Picasso,"Gebhardtgasse, 2",1190,# Commissionable Orders,251,310
55,Pizza Picasso,"Gebhardtgasse, 2",1190,Avg Basket Size €,17.63,19.76
55,Pizza Picasso,"Gebhardtgasse, 2",1190,# Negative Comments,0,2
55,Pizza Picasso,"Gebhardtgasse, 2",1190,# Positive Comments,1,1
55,Pizza Picasso,"Gebhardtgasse, 2",1190,% Kill Rate,2.70%,2.40%
55,Pizza Picasso,"Gebhardtgasse, 2",1190,Avg Time to Accept (s),13,12
59,Pizzeria Tanti Saluti,"Rainergasse, 31",1040,# Commissionable Orders,908,"1,132"
59,Pizzeria Tanti Saluti,"Rainergasse, 31",1040,Avg Basket Size €,18.53,19.72
59,Pizzeria Tanti Saluti,"Rainergasse, 31",1040,# Negative Comments,5,7
59,Pizzeria Tanti Saluti,"Rainergasse, 31",1040,# Positive Comments,1,1
59,Pizzeria Tanti Saluti,"Rainergasse, 31",1040,% Kill Rate,4.60%,4.20%
59,Pizzeria Tanti Saluti,"Rainergasse, 31",1040,Avg Time to Accept (s),17,17
65,Pizzakeller,"Bellegardegasse, 2",1220,# Commissionable Orders,767,890
65,Pizzakeller,"Bellegardegasse, 2",1220,Avg Basket Size €,24.67,25.19
65,Pizzakeller,"Bellegardegasse, 2",1220,# Negative Comments,9,14
65,Pizzakeller,"Bellegardegasse, 2",1220,# Positive Comments,1,1
65,Pizzakeller,"Bellegardegasse, 2",1220,% Kill Rate,6.00%,5.70%
65,Pizzakeller,"Bellegardegasse, 2",1220,Avg Time to Accept (s),,
67,Pizzeria Ristorante Maradona,"Schrotzbergstraße, 1",1020,# Commissionable Orders,577,838
67,Pizzeria Ristorante Maradona,"Schrotzbergstraße, 1",1020,Avg Basket Size €,17.65,17.49
67,Pizzeria Ristorante Maradona,"Schrotzbergstraße, 1",1020,# Negative Comments,2,1
67,Pizzeria Ristorante Maradona,"Schrotzbergstraße, 1",1020,# Positive Comments,1,1
67,Pizzeria Ristorante Maradona,"Schrotzbergstraße, 1",1020,% Kill Rate,4.80%,4.30%
67,Pizzeria Ristorante Maradona,"Schrotzbergstraße, 1",1020,Avg Time to Accept (s),20,17
69,Pizzeria Donna Diana,"Johnstraße, 34 - 36",1140,# Commissionable Orders,412,431
69,Pizzeria Donna Diana,"Johnstraße, 34 - 36",1140,Avg Basket Size €,14.8,15.25
69,Pizzeria Donna Diana,"Johnstraße, 34 - 36",1140,# Negative Comments,5,2
69,Pizzeria Donna Diana,"Johnstraße, 34 - 36",1140,# Positive Comments,1,1
69,Pizzeria Donna Diana,"Johnstraße, 34 - 36",1140,% Kill Rate,5.70%,4.90%
