,lead_id,name,zip,Orders,month
239,N10N0N5,Gössendorfer Pizza-Burger-Kebaphaus,8077,162,1
250,ORPQQ1N1,Pizzeria David,8063,40,1
251,QROPOOO,Subway,8055,40,1
252,0QQ75P11,PiPaPo Marktrestaurant Pizzeria,8055,404,1
253,QQ77ON3,La Perla,8055,243,1
254,0P0NNP11,Gasthof s'Reindl,8055,40,1
255,NQN130Q,NORDSEE,8055,0,1
256,57PO3RN,Restaurant Zum Kochlöffel,8055,1432,1
257,ONOONQN1,Asia Restaurant -Cineplexx,8055,890,1
258,OOP31PN1,Like Pizza und Kebab,8055,162,1
259,OP7O5ON1,Noodlebox,8055,81,1
260,O0OQPO01,Captains Pizzeria,8055,688,1
261,0170O0N1,Burgerista,8055,0,1
262,N1PPN37,Burger King,8055,162,1
263,O07QQNNN,Pizzeria Bulut,8055,566,1
264,333RN01,Don Camillo,8055,1175,1
265,QPNR07O,Comida,8055,0,1
266,ONNRRN11,Ferdls Restaurant,8054,430,1
267,O7PONON1,King Pizzeria,8054,364,1
268,0R3300N1,Pyramidana,8054,344,1
269,0531R55N,Kabashis,8054,917,1
270,Q70011O,Toscana,8054,688,1
271,N30N0OO,Zum Mandarin,8054,121,1
272,O357R7R1,Rosamunde Kebap,8054,0,1
273,031PN711,Dumpling Factory,8054,162,1
274,N3OP1O7,Zu den 3 goldenen Kugeln,8054,0,1
275,OP0557R,my Kentt Pizza & Kebap,8054,364,1
276,OQOQPN7,McDonald's®,8054,121,1
277,O5OQ1101,Granola,8054,0,1
278,OP30R7R1,Come a Casa,8054,544,1
279,O537RQR,Gasthaus zur Traube,8053,81,1
280,NR3RO15,Bauernwirt,8053,0,1
281,01337Q11,Yasna Panda Box,8053,0,1
282,3P7Q03,Clocktower American Bar & Grill,8053,0,1
283,NOPP77O,Fandl Hendl,8053,81,1
284,513QPQN,Road Burger - Pizza Taxi 2600,8053,890,1
285,Q3R01,China Restaurant Mond,8053,802,1
286,575R103,Pizza Presto,8053,283,1
287,N553QR7,Phoenix Pizza,8052,81,1
288,3OPR371,Al Forno,8052,566,1
289,P33ORQ,Wiener & Co,8052,283,1
290,OQ15OO5N,Pizza Stella,8052,404,1
291,OP005111,Der Eissalon,8052,0,1
292,Q05P07O,HEINZ Graz Nord,8051,485,1
293,OPPON101,Gasthaus zur Sonne,8051,0,1
294,N7NNO07,Best Food Grill 7,8051,324,1
