restaurantID,name,street,restaurantZIP,#CommissionableOrders,AvgBasketSize€,#NegativeComments,#PositiveComments,%KillRate,AvgTimetoAccept(s),Month
1505,Mampf,"Herrgottwiesgasse, 51",8020,699,22.5,3,1,5.20%,17,1
1532,Pizzeria Dolce Vita,"Georgigasse, 26",8020,"1,178",19.12,0,1,6.00%,9,1
1560,China Restaurant Mond,"Harrachgasse, 12",8010,230,23.82,1,1,5.40%,19,1
1621,Asia Wok Royal,"Eggenberger Allee, 46",8020,692,24.6,3,1,7.70%,27,1
1622,Gourmet Express,"Großmarktstraße, 10",8020,365,24.13,2,1,3.90%,20,1
1642,Goldene Schwalbe Chinarestaurant,"Lagergasse, 67",8020,106,25.02,1,1,10.00%,34,1
1643,Pizza Taxi & Road Burger,"Kärntner Straße, 167",8053,746,26.34,0,1,5.40%,21,1
1667,Pizzeria Mama-Rosa,"Wiener Straße, 182 b",8051,336,17.46,9,1,7.50%,26,1
1703,China Restaurant Imperium,"Theodor-Körner-Straße, 40",8010,486,24.3,1,1,8.50%,15,1
1747,Gambaro Rosso,"St.-Peter-Hauptstraße, 61",8042,248,20.72,1,1,9.30%,18,1
1870,China Restaurant Goldener Fisch,"Fischergasse, 5",8010,333,22.6,6,1,10.30%,127,1
1936,Don Alfredo und Der Knusperwirt,"Kalvariengürtel, 1",8020,328,21.85,1,1,10.70%,27,1
2105,Pizzeria Venezia,"Annenstraße, 54",8020,116,12.23,0,1,13.00%,397,1
2108,Salz & Pfeffer,"Vinzenz-Muchitsch-Straße, 10",8020,460,26.82,6,1,9.10%,22,1
2109,Uni Pizza Graz,"Simonygasse, 49",8054,23,18.54,0,1,7.70%,100,1
2132,Side Cafe-Pizzeria,"Annenstraße, 37",8020,36,13.84,0,1,7.80%,387,1
2215,Dim Sum,"Dietrichsteinplatz, 2",8010,235,31.06,1,1,11.50%,21,1
2307,Pizza Anka,"Karlauplatz, 4",8020,64,11.63,0,1,3.50%,345,1
2627,Schnitzl Stub'n,"Glockenspielplatz, 5",8010,0,,0,0,,,1
2772,PHOENIX,"Handelstraße, 38a",8020,0,,0,0,,,1
2998,Shun Feng,"Keplerstraße, 34",8020,285,19.86,2,1,8.70%,16,1
2999,Chinahaus,"Mariatroster Straße, 14",8043,240,24.08,0,1,8.60%,18,1
3079,King Pizzeria,"Kärntner Straße, 406",8054,229,18.65,1,1,7.00%,13,1
3093,Wiener & Co,"Straßganger Straße, 210",8052,278,23.98,2,1,5.90%,23,1
3181,Pizza und Kebap Studio,"St.-Peter-Hauptstraße, 90",8042,674,14.01,6,1,4.70%,11,1
3230,Pizzeria da Piero,"Griesgasse, 34",8020,"1,463",19.56,1,1,6.40%,9,1
3246,Arena Kebap Pizza Burger,"Liebenauer Hauptstraße, 17",8041,67,24.43,0,1,13.30%,10,1
3253,China Restaurant Jade,"Schillerstraße, 2",8010,869,24.98,1,1,6.90%,16,1
3373,Pizzeria Reggae Haus,"Leonhardstraße, 26",8010,52,19.5,1,1,,32,1
3502,Hai Asia,"Liebenauer Gürtel, 16",8041,191,28.18,1,1,12.70%,38,1
3645,Campus,"Schumanngasse, 27",8010,370,17.38,5,1,9.60%,17,1
3675,Restaurant Z10,"Zinzendorfgasse, 10",8010,"1,899",23.53,4,1,6.30%,15,1
3676,The Perfect Bite,"Annenstraße, 10/10",8020,80,21.62,2,1,11.10%,49,1
3687,Milu Milu Taiwanesisches Restaurant,"Keesgasse, 5",8010,94,28.38,1,1,18.40%,13,1
3728,Euroburger & Euronudel,"Schumanngasse, 4",8010,498,16.85,8,1,9.20%,16,1
3797,Safi Pizza & Burger,"Annenstraße, 15",8020,360,15.92,3,1,7.90%,19,1
3799,Veggie+,"Volksgartenstraße, 24",8020,119,17.43,3,1,7.60%,331,1
3825,Pizzeria Azzurro,"Körösistraße, 200",8010,88,20.07,1,1,12.10%,160,1
4061,Diola by Casa Mia,"Herrgottwiesgasse, 97",8020,178,19.74,1,1,5.80%,22,1
4131,Bellagio Uni4tel,"Elisabethstraße, 19",8010,273,22.36,1,1,5.60%,16,1
4327,Happy Burger,"Reininghausstraße, 50",8020,330,21.46,1,1,6.50%,18,1
4349,X-D & Wok,"Griesplatz, 36v/2",8020,66,21.53,0,1,7.10%,516,1
4400,Big Kebap Pizza & Burger,"Kärntner Straße, 153",8053,537,17.65,3,1,5.30%,11,1
4402,Toscana Pizza Kebap Haus,"Kärntner Straße, 416",8054,184,14.73,1,1,5.30%,20,1
4434,Pizza Maxxx,"Andritzer Reichsstraße, 28",8045,319,21.59,3,1,8.80%,18,1
4489,Waltendorfer Kebap Pizza,"Plüddemanngasse, 49",8010,265,16.83,2,1,5.90%,19,1
4491,Dean & David,"Jakoministraße, 34",8010,767,26.48,1,1,7.90%,19,1
4495,Pizzeria La Perla,"Triester Straße, 478",8055,318,18.36,0,1,8.60%,9,1
4512,Goldener Apfel,"Brockmanngasse, 87",8010,6,14.05,0,1,7.90%,407,1
4573,Ristorante Due Amici,"Kernstockgasse, 17",8020,114,20.5,2,1,9.80%,333,1
4621,Pizza Presto - Originale Holzofenpizza,"Peter-Rosegger-Straße, 44",8053,160,23.42,2,1,10.90%,21,1
4641,Pizzeria Ristorante Da Vinci,"Fröhlichgasse, 73",8010,"1,933",20.42,7,1,5.10%,16,1
4651,Pizzeria Volta,"Mandellstraße, 27",8010,624,21.1,0,1,8.40%,10,1
4656,Pizzeria Roma,"Elisabethstraße, 32",8010,827,17.19,6,1,7.90%,16,1
4694,Die grüne Karotte - Vegan & Vegetarisch,"Heinrichstraße, 8",8010,12,23.43,0,1,8.30%,640,1
4760,Me Gusta,"St.-Peter-Hauptstraße, 10",8042,387,21.52,0,1,7.10%,18,1
4770,Euro Pizza Burger & Kebap,"Theodor-Körner-Straße, 40",8010,320,17.75,1,1,5.90%,9,1
4899,Pizza Profi,"Wiener Straße, 212a",8051,336,18.24,1,1,9.30%,14,1
5172,Gössendorfer Haus Pizza Kebap,"Bundesstraße, 274",8041,41,21.71,1,1,9.40%,15,1
5199,Mistyria,"Conrad-von-Hötzendorf-Straße, 115",8010,38,15.72,2,1,8.90%,17,1
5260,Felice,"St.-Peter-Hauptstraße, 119a",8042,0,,0,0,,,1
5270,Pizzeria Alforno,"Steinbergstraße, 14",8052,319,19.6,1,1,4.40%,17,1
5271,Elit Restaurant,"Rösselmühlgasse, 6b",8020,139,14.73,2,1,5.90%,310,1
5292,Transilvania,"Südtiroler Platz, 9",8020,0,,0,0,,,1
5334,Yong Ramen,"Leonhardstraße, 31",8010,11,13.11,0,0,8.60%,443,1
5335,Zu den 3 goldenen Kugeln,"Lazarettgürtel, 55",8020,10,29.43,0,0,3.00%,156,1
5342,Kolbe - Persisches Grillhaus,"Keplerstraße, 102",8020,47,26.25,0,1,14.70%,23,1
5379,Burger King,"Jakominiplatz, 16",8010,212,23.35,3,1,3.90%,10,1
5388,LIU - authentisch asiatische Küche,"Sporgasse, 11",8010,436,26.53,3,1,8.30%,452,1
5394,Burger King,"Puntigamer Straße, 141",8055,129,26.38,1,1,5.80%,28,1
5400,Burger King,"Jakominiplatz, 16",8010,761,21.84,1,1,3.30%,444,1
5406,Das Maxxx,"Andritzer Reichsstraße, 28",8045,137,25.51,1,1,10.80%,17,1
5428,Pizzeria Santa Catharina,"Sporgasse, 32",8010,17,20.99,0,1,16.70%,569,1
5432,My Kentt Pizzzza Kebap,"Kärntner Straße, 329",8054,172,16.18,1,1,8.90%,12,1
5460,NORDSEE - Herrengasse,"Herrengasse, 5",8010,15,19.83,0,1,5.30%,308,1
5475,Babe - Asian Noodle House,"Zinzendorfgasse, 18",8010,183,15.3,0,1,8.30%,477,1
5478,Cevabdzinica Hodzic - Balkan Spezialitäten,"Georgigasse, 36",8020,9,15.19,0,0,10.00%,712,1
5482,Cafe ABOL - äthiopische Küche ,"Schönaugasse, 16",8010,36,18.02,0,1,11.20%,337,1
5520,Restaurant Hendl-Eck,"Grabenstraße, 12",8010,502,22.53,2,1,3.60%,332,1
5590,Tasty Donuts,"Jakominiplatz, 16/top 5",8010,54,12.68,0,1,4.70%,530,1
5622,Zu den 3 goldenen Kugeln,"Heinrichstraße, 18",8010,387,26.24,1,1,4.30%,478,1
5666,"Lend Kebap, Pizza & Pasta","Lendplatz, 34",8020,261,14.63,1,1,3.20%,415,1
5667,Peppone,"Franziskanerplatz, 11",8010,1,,0,0,19.80%,,1
5674,Asia Today - Asien zum Anbeißen ,"Lazarettgürtel, 55",8020,34,21.52,0,1,9.90%,423,1
5697,Swing Kitchen,"Kaiserfeldgasse, 3",8010,"1,982",23.67,0,1,6.50%,402,1
5703,Gösser Stüberl,"Steyrergasse, 1",8010,399,25.46,1,1,5.40%,16,1
5734,Than Thai Imbiss,"Schönaugasse, 16/1",8010,16,25.06,0,1,1.60%,331,1
5740,Merano's Burgers & More,"Elisabethstraße, 37",8010,63,23.01,1,1,,392,1
5741,NAM Vietnamese Street Food,"Jakominiplatz, stand 22",8010,311,22.13,2,1,5.90%,475,1
5745,Best Food Grill 7,"Wiener Straße, 253",8051,136,22.53,0,1,5.30%,10,1
5752,Draxler Geflügel,"Jakominiplatz, 13",8010,72,19.27,0,1,4.00%,452,1
5759,Murphy's Sports Bar,"Beethovenstraße, 9a",8010,0,,0,0,,,1
5798,Zu den 3 goldenen Kugeln,"Bahnhofgürtel, 89",8020,131,28.33,1,1,5.90%,488,1
5805,Granola - the American Way of Life,"Bahnhofgürtel, 89",8020,166,29.53,0,1,9.30%,458,1
5810,Burgerista,"Radetzkystraße, 1",8010,841,23.04,7,1,6.30%,462,1
5819,McDonald's,"Jakominiplatz, 18",8010,"2,508",21.26,12,1,3.10%,444,1
5820,McDonald's,"Plüddemanngasse, 62",8010,"1,044",21.76,11,1,6.10%,581,1
